Termine presente nella gerarchia;Sinonimo 1 (Nomenclatura binomia);Sinonimo 2;Sinonimo 3;Sinonimo 4;Sinonimo 5;Sinonimo 6;Sinonimo 7;Sinonimo 8;Sinonimo 9;Sinonimo 10;Sinonimo 11;Sinonimo 12;Sinonimo 13;Sinonimo 14;Sinonimo 15;Sinonimo 16
radish;Raphanus sativus;R. sativus;tillage Radish;forage radish;;;;;;;;;;;;
cereal rye;Secale cereale;Secale cereale L.;rye;Secale cereal L.;secale cereal;winter rye;winter cereal rye;fall rye;;;;;;;;
hairy vetch;Vicia villosa;Vicia villosa Roth;V. villosa;Vicia villosa L.;winter vetch;;;;;;;;;;;
rice;Oryza sativa;Oryza sativa L.;;;;;;;;;;;;;;
crimson clover;Trifolium incarnatum;Trifolium incarnatum L.;T. incarnatum;;;;;;;;;;;;;
oat;Avena sativa;Avena sativa L.;white oat;spring oat;;;;;;;;;;;;
pea;Pisum sativum;Pisum sativum L.;;;;;;;;;;;;;;
common vetch;Vicia sativa;Vicia sativa L.;V. sativa;;;;;;;;;;;;;
chinese milk vetch;Astragalus sinicus;milk vetch;;;;;;;;;;;;;;
rapeseed ;Brassica napus;rape;oilseed rape;Brassica napus L.;B. napus;;;;;;;;;;;
red clover;Trifolium pratense;grass clover;Trifolium prantense L.;;;;;;;;;;;;;
bean;Phaseolus vulgaris;common bean;Phaseolus vulgaris L.;;;;;;;;;;;;;
black oat;Avena strigosa;black oats;A. strigosa;Avena strigosa Schreb;bristle oat;;;;;;;;;;;
sorghum;Sorghum bicolor;Sorghum bicolor Moench;Sorghum bicolor L.;;;;;;;;;;;;;
barley;Hordeum vulgare;Hordeum vulgare L.;;;;;;;;;;;;;;
soybean;Glycine max;Glycine max L.;Glycine max Merr.;soybean Glycine max Merr.;soya bean;;;;;;;;;;;
white mustard;Sinapis alba;Sinapis alba L.;S. alba;;;;;;;;;;;;;
maize;Zea mays;corn;Zea mays L.;corn Zea mays L.;;;;;;;;;;;;
brown mustard;Brassica juncea;B. juncea;;;;;;;;;;;;;;
potato;Solanum tuberosum;Solanum tuberosum L.;;;;;;;;;;;;;;
cauliflower;Brassica oleracea;;;;;;;;;;;;;;;
buckwheat;Fagopyrum esculentum;Fagopyrum esculentum Moench;common buckwheat;;;;;;;;;;;;;
alfaalfa;Medicago sativa;Medicago sativa L.;;;;;;;;;;;;;;
mung bean;Vigna radiata;green gram;;;;;;;;;;;;;;
tomato;Solanum lycopersicum;Solanum lycopersicum L.;Lycopersicon esculentum;;;;;;;;;;;;;
sorghum sudangrass;Sorghum drummondii;Sudan grass;;;;;;;;;;;;;;
spring pea;Lathyrus vernus;spring vetch;;;;;;;;;;;;;;
common lambsquarter;Chenopodium album;;;;;;;;;;;;;;;
faba bean;Vicia faba;broad bean;;;;;;;;;;;;;;
white clover;Trifolium repens;Trifolium repen;;;;;;;;;;;;;;
sunflower;Helianthus annuus;Helianthus annuus L.;common sunflower;;;;;;;;;;;;;
white lupin;Lupinus albus;L. albus;;;;;;;;;;;;;;
coffee;Coffea arabica;;;;;;;;;;;;;;;
Guinea grass;Megathyrsus maximus;;;;;;;;;;;;;;;
balansa clover;Trifolium michelianum;;;;;;;;;;;;;;;
white vetch;Lathyrus sativus;grass pea;;;;;;;;;;;;;;
black medic;Medicago lupulina;;;;;;;;;;;;;;;
velvet bean;Mucuna pruriens;black velvet bean;black mucuna;mucuna fallow;;;;;;;;;;;;
beet ;Beta vulgaris;red beet;Beta vulgaris L.;;;;;;;;;;;;;
berseem clover;Trifolium alexandrinum;egyptian clover;Trifolium alexandrinum L.;;;;;;;;;;;;;
subterranean clover;Trifolium subterraneum;Trifolium subterraneum L.;T. subterraneum;;;;;;;;;;;;;
lettuce;Lactuca sativa;Lactuca sativa L.;;;;;;;;;;;;;;
sugarcane;Saccharum officinarum ;sugar cane;;;;;;;;;;;;;;
palisade grass;Urochloa brizantha;brachiaria grass;;;;;;;;;;;;;;
winter camelina;Camelina sativa;Camelina sativa Crantz;;;;;;;;;;;;;;
persian clover;Trifolium resupinatum;;;;;;;;;;;;;;;
chickpea;Cicer arietinum;;;;;;;;;;;;;;;
hyacinth bean;Lablab purpureus;lablab bean;;;;;;;;;;;;;;
spring pea;Pisum sativum var. arvense;austrian winter pea;field pea;;;;;;;;;;;;;
oilseed radish;Raphanus sativus var. oleiformis;oil seed radish;fodder radish;;;;;;;;;;;;;
