Livello gerarchico più alto;Livello 2;Livello 3;Livello 4;Livello 5;Livello 6;Livello 7;;;
crop;allelopathic crop;;;;;;;;
crop;fallow crop;;;;;;;;
crop;gm crop;;;;;;;;
crop;horticultural crop;;;;;;;;
crop;organic crop ;;;;;;;;
crop;high value crop;;;;;;;;
crop;woody crop;shrub crop;;;;;;;
crop;woody crop;tree crop;;;;;;;
cover crop function;soil fertility improvement;;;;;;;;
cover crop function;nitrate leaching reduction;;;;;;;;
cover crop function;soil evaporation reduction;;;;;;;;
cover crop function;biofumigation;;;;;;;;
cover crop function;weed control;;;;;;;;
cover crop function;erosion control;;;;;;;;
cover crop function;n source;;;;;;;;
cover crop function;n supply;;;;;;;;
cover crop function;c source;;;;;;;;
soil property;soil organic carbon content;soil organic carbon stock;;;;;;;
soil property;soil organic carbon content;humus content;;;;;;;
soil property;soil organic matter content;;;;;;;;
soil property;soil pH;;;;;;;;
soil property;soil C N ratio;lignin N ratio;;;;;;;
soil property;soil nutrient content;soil N content;soil mineral N content;soil NO3 N content;;;;;
soil property;soil nutrient content;soil N content;soil mineral N content;available N content;;;;;
soil property;soil nutrient content;soil P content;available P content;;;;;;
soil property;soil nutrient content;soil K content;available K content;;;;;;
soil property;soil nutrient content;Ca content;;;;;;;
soil property;Cd content;;;;;;;;
soil property;soil concentration;;;;;;;;
soil property;soil moisture;volumetric water content;;;;;;;
soil property;soil texture;sandy;loamy sand;;;;;;
soil property;soil texture;sandy;sandy clay;;;;;;
soil property;soil texture;silty;silty clay;;;;;;
soil property;soil texture;clay;sandy clay;;;;;;
soil property;soil texture;clay;silty clay;;;;;;
soil property;soil texture;loamy;clay loam;silty clay loam;;;;;
soil property;soil texture;loamy;clay loam;sandy clay loam;;;;;
soil property;soil texture;loamy;sandy loam;;;;;;
soil property;soil texture;loamy;silt loam;;;;;;
soil property;soil structure;;;;;;;;
soil property;soil temperature;;;;;;;;
soil property;soil porosity;total porosity;;;;;;;
soil property;soil porosity;macroporosity;;;;;;;
soil property;soil porosity;microporosity;;;;;;;
soil property;bulk density;;;;;;;;
soil property;soil aggregate stability;wet aggregate stability;;;;;;;
soil property;soil aggregation;;;;;;;;
soil property;soil depth;;;;;;;;
soil property;soil fertility;;;;;;;;
soil property;soil retention;;;;;;;;
soil property;soil infiltration rate;;;;;;;;
soil property;soil organic carbon sequestration;;;;;;;;
soil property;soil cation exchange capacity;;;;;;;;
soil property;soil penetration resistance;;;;;;;;
soil property;soil electrical conductivity;;;;;;;;
soil property;soil aggregate size;;;;;;;;
soil property;soil hydraulic property;soil water content;field capacity;;;;;;
soil property;soil hydraulic property;soil water content;plant available water;;;;;;
soil property;soil hydraulic property;soil water content;available water capacity;;;;;;
soil property;soil hydraulic property;soil water content;volumetric water content;;;;;;
soil property;soil hydraulic property;soil hydraulic conductivity;saturated hydraulic conductivity;;;;;;
soil property;soil hydraulic property;soil hydraulic conductivity;unsaturated hydraulic conductivity;;;;;;
soil property;soil hydraulic property;soil water retention;;;;;;;
soil property;soil hydraulic property;soil water potential;;;;;;;
soil property;soil pH;;;;;;;;
soil property;soil biodiversity;;;;;;;;
soil property;clay content;;;;;;;;
soil property;titratable acidity;;;;;;;;
soil property;soil nutrient availability;;;;;;;;
soil property;soil salinity;;;;;;;;
soil property;soil profile;;;;;;;;
soil property;soil erodibility;;;;;;;;
soil property;soil resistance;;;;;;;;
